@RELATION stories
@ATTRIBUTE total_characters  NUMERIC
@ATTRIBUTE main_characters   NUMERIC
@ATTRIBUTE secondary_characters  NUMERIC
@ATTRIBUTE ratio_characters   NUMERIC
@ATTRIBUTE length   NUMERIC
@ATTRIBUTE total_facts   NUMERIC
@ATTRIBUTE ratio_characters_facts   NUMERIC
@ATTRIBUTE evolution   NUMERIC
@ATTRIBUTE main_character_actions   NUMERIC
@ATTRIBUTE total_actions   NUMERIC
@ATTRIBUTE ratio_actions   NUMERIC
@ATTRIBUTE love_level   NUMERIC
@ATTRIBUTE hate_level   NUMERIC
@ATTRIBUTE drama_level   NUMERIC
@ATTRIBUTE fun_level   NUMERIC
@ATTRIBUTE plausibility   NUMERIC
@ATTRIBUTE has_date   NUMERIC
@ATTRIBUTE has_time   NUMERIC
@ATTRIBUTE has_weather   NUMERIC
@ATTRIBUTE class        {interesting,notinteresting}

@DATA
3,2,1,0.6666666666666666,17,4,0.75,2,3,5,0.6,0,1,1,0,0.18536169826984406,0,0,1,interesting
2,2,0,1,15,4,0.5,2,4,5,0.8,0,0,0,0,0.23736411333084106,0,0,1,interesting
3,2,1,0.6666666666666666,17,4,0.75,2,3,5,0.6,2,0,0,0,0.18536169826984406,0,0,1,notinteresting
3,2,1,0.6666666666666666,18,4,0.75,2,3,5,0.6,1,0,0,0,0.22474411129951477,0,0,1,notinteresting
3,2,1,0.6666666666666666,18,4,0.75,2,3,5,0.6,1,0,0,0,0.21763356029987335,0,0,1,notinteresting
3,2,1,0.6666666666666666,17,4,0.75,2,3,5,0.6,1,0,0,0,0.21240830421447754,0,0,1,notinteresting
3,2,1,0.6666666666666666,17,4,0.75,2,3,5,0.6,0,1,1,0,0.22474411129951477,0,0,1,notinteresting
3,2,1,0.6666666666666666,18,4,0.75,2,3,5,0.6,1,0,0,0,0.15712228417396545,0,0,1,notinteresting
3,2,1,0.6666666666666666,18,4,0.75,2,3,5,0.6,0,1,1,0,0.22474411129951477,0,0,1,interesting
3,2,1,0.6666666666666666,18,4,0.75,2,3,5,0.6,2,0,0,0,0.15712228417396545,0,0,1,interesting
3,2,1,0.6666666666666666,18,4,0.75,2,3,5,0.6,2,0,0,0,0.16750942170619965,0,0,1,notinteresting
2,2,0,1,16,4,0.5,1,9,6,1.5,0,0,0,0,0.15,0,0,1,interesting
3,2,1,0.6666666666666666,17,4,0.75,2,3,5,0.6,1,0,0,0,0.15712228417396545,1,1,0,notinteresting
3,2,1,0.6666666666666666,18,4,0.75,2,3,5,0.6,1,0,0,0,0.21583940088748932,0,0,1,notinteresting
3,2,1,0.6666666666666666,17,4,0.75,2,3,5,0.6,2,0,0,0,0.2156950831413269,0,0,1,notinteresting
